id,kennel_id,name,address,city,state,zip_code,county,township,license_number,last_status,last_issued_license_year,last_license_class,details_url,created_at,updated_at
406,17602,Golden Wood Pet Resort LLC,316 Noll Road,,PA,,BEAVER,Georgetown,17738,Open,2026,BK2: 11-25 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17602,2025-12-18 14:57:25,2025-12-18 14:57:25
407,17337,Happy Trails Training LLC,173 Swiontek Rd.,,PA,,BEAVER,Independence,17475,Open,2026,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17337,2025-12-18 14:57:26,2025-12-18 14:57:26
408,151,Grays Beagles,1751 State Rte 168,,PA,,BEAVER,Hanover,01154,Closed - Voluntarily,2023,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/151,2025-12-18 14:57:26,2025-12-18 14:57:26
409,155,Honeybrook Kennel,532 Bunkerhill Road,,PA,,BEAVER,Aliquippa,01158,Closed - Voluntarily,2018,K2: 51-100 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/155,2025-12-18 14:57:26,2025-12-18 14:57:26
410,2428,Honeybrook Kennel,532 Bunkerhill Road,,PA,,BEAVER,Aliquippa,03637,Closed - Voluntarily,2018,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/2428,2025-12-18 14:57:27,2025-12-18 14:57:27
411,18574,"JK9 Pet Services, LLC",1091 Phillips St,,PA,,BEAVER,Baden Borough,18708,Open,2026,BK1: 1-10 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/18574,2025-12-18 14:57:27,2025-12-18 14:57:27
412,3318,Kennel of Cluny LLC,4433 State Route 151,,PA,,BEAVER,Raccoon,04639,Closed - Voluntarily,2021,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3318,2025-12-18 14:57:27,2025-12-18 14:57:27
413,2675,"Kaufman's Boarding Kennel",1720 Route 68,,PA,,BEAVER,New Sewickley,03912,Open,2026,BK2: 11-25 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/2675,2025-12-18 14:57:27,2025-12-18 14:57:27
414,3319,"Kennel of Cluny, LLC",4433 State Route 151,,PA,,BEAVER,Raccoon,04640,Closed - Voluntarily,2021,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3319,2025-12-18 14:57:27,2025-12-18 14:57:27
415,6096,Kerlin Kanine Training,3031  Kane Rd,,PA,,BEAVER,Hopewell,07336,Open,2025,BK1: 1-10 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/6096,2025-12-18 14:57:28,2025-12-18 14:57:28
